InvoiceNo,OrderDate,CustomerKey,ProductKey,SalespersonKey,Quantity,UnitPrice,DiscountPct,GrossSales,NetSales,PaymentMethod,SalesChannel,OrderStatus,CustomerType
INV100001,2024-07-04,C0132,P0007,S008,9,"₹31,025.66",0%,279230.94,279230.94,credit card, online ,completed,Repeat
INV100002,2024-08-22,C0165,P0002,S001,8,"₹83,842.79",10%,670742.32,603668.09,Credit Card,Retail Store,Returned,New
INV100003,2024-02-11,C0083,P0010,S002,3,"₹5,370.83",5%,16112.49,15306.87,Wallet,Distributor,Completed,Repeat
INV100004,2024-11-01,C0136,P0019,S008,9,₹216.99,15%,1952.91,1659.97,Credit Card,Distributor,Cancelled,Returning
INV100005,2024-04-20,C0111,P0029,S004,7,"₹4,727.32",5%,33091.24,31436.68,Cash,Retail Store,Completed,Repeat
INV100006,2024-08-06,C0081,P0017,S006,3,"₹14,816.19",20%,44448.57,35558.86,Credit Card,Online,Completed,New
INV100007,2024-08-09,C0025,P0024,S003,9,₹501.60,0%,4514.4,4514.4,Wallet,Distributor,Completed,Returning
INV100008,2024-03-03,C0106,P0023,S007,1,₹82.49,5%,82.49,78.37,Bank Transfer,Online,Cancelled,Returning
INV100009,2024-04-18,C0040,P0031,S004,2,"₹1,062.68",5%,2125.36,2019.09,Bank Transfer,Online,Completed,Returning
INV100010,2024-04-25,C0110,P0002,S010,5,"₹80,505.27",0%,402526.35,402526.35,Bank Transfer,Retail Store,Completed,New
INV100011,2024-04-02,C0037,P0026,S002,3,₹328.30,20%,984.9,787.92,Credit Card,Online,Cancelled,New
INV100012,2024-07-11,C0108,P0030,S006,3,"₹1,903.74",5%,5711.22,5425.66,Bank Transfer,Distributor,Cancelled,New
INV100013,2024-01-27,C0040,P0011,S010,1,"₹6,998.16",20%,6998.16,5598.53,Cash,Distributor,Returned,Repeat
INV100014,2024-11-06,C0114,P0027,S005,4,"₹1,781.25",15%,7125.0,6056.25,Cash,Online,Completed,Returning
INV100015,2024-12-13,C0152,P0032,S009,5,"₹2,487.88",0%,12439.4,12439.4,Wallet,Online,Completed,New
INV100016,2024-06-03,C0055,P0009,S005,5,"₹5,031.30",5%,25156.5,23898.67,Cash,Distributor,Returned,New
INV100017,2024-03-07,C0098,P0015,S009,9,"₹25,648.66",20%,230837.94,184670.35,Credit Card,Retail Store,Completed,Repeat
INV100018,2024-01-10,C0118,P0005,S006,10,"₹9,800.80",10%,98008.0,88207.2,Cash,Retail Store,Completed,Repeat
INV100019,2024-01-11,C0084,P0011,S010,8,"₹8,004.02",20%,64032.16,51225.73,Credit Card,Retail Store,Completed,New
INV100020,2024-08-11,C0151,P0026,S009,2,₹340.51,10%,681.02,612.92,Bank Transfer,Online,Completed,New
INV100021,2024-02-09,C0131,P0008,S009,9,"₹2,708.40",0%,24375.6,24375.6,Bank Transfer,Retail Store,Completed,New
INV100022,2024-02-22,C0038,P0017,S004,3,"₹13,106.29",15%,39318.87,33421.04,Credit Card,Online,Returned,Repeat
INV100023,2024-10-15,C0149,P0029,S010,10,"₹4,753.79",5%,47537.9,45161.0,Bank Transfer,Online,Returned,New
INV100024,2024-08-28,C0114,P0020,S005,10,₹498.18,0%,4981.8,4981.8,Credit Card,Retail Store,Returned,Repeat
INV100025,2024-01-20,C0015,P0024,S005,2,₹523.59,20%,1047.18,837.74,Credit Card,Distributor,Cancelled,Returning
INV100026,2024-07-15,C0119,P0003,S008,10,"₹46,989.02",20%,469890.2,375912.16,Wallet,Retail Store,Cancelled,New
INV100027,2024-02-01,C0116,P0007,S006,2,"₹29,638.79",15%,59277.58,50385.94,Credit Card,Online,Returned,Repeat
INV100028,2024-09-25,C0134,P0011,S006,6,"₹7,365.17",5%,44191.02,41981.47,Bank Transfer,Distributor,Cancelled,New
INV100029,2024-11-19,C0166,P0022,S002,6,₹415.04,0%,2490.24,2490.24,Cash,Retail Store,Completed,Returning
INV100030,2024-12-02,C0155,P0010,S006,2,"₹5,403.94",15%,10807.88,9186.7,Bank Transfer,Retail Store,Returned,New
INV100031,2024-10-31,C0022,P0020,S009,7,₹534.08,20%,3738.56,2990.85,UPI,Distributor,Cancelled,New
INV100032,2024-11-26,C0172,P0028,S009,6,"₹5,268.49",0%,31610.94,31610.94,UPI,Online,Completed,Repeat
INV100033,2024-04-08,C0058,P0009,S003,2,"₹5,652.24",5%,11304.48,10739.26,Credit Card,Distributor,Cancelled,Returning
INV100034,2024-09-26,C0010,P0022,S010,3,₹403.12,15%,1209.36,1027.96,UPI,Online,Cancelled,New
INV100035,2024-08-12,C0012,P0027,S006,4,"₹1,932.16",10%,7728.64,6955.78,Cash,Online,Cancelled,New
INV100036,2024-06-07,C0121,P0013,S006,10,"₹4,799.65",10%,47996.5,43196.85,Bank Transfer,Retail Store,Cancelled,Returning
INV100037,2024-08-02,C0042,P0013,S010,3,"₹4,483.24",5%,13449.72,12777.23,Cash,Retail Store,Cancelled,New
INV100038,2024-12-30,C0133,P0008,S005,2,"₹2,450.77",0%,4901.54,4901.54,Wallet,Online,Returned,New
INV100039,2024-04-23,C0116,P0023,S001,7,₹79.84,0%,558.88,558.88,Bank Transfer,Online,Returned,New
INV100040,2024-07-10,C0058,P0002,S006,2,"₹86,879.33",20%,173758.66,139006.93,UPI,Online,Completed,Repeat
INV100041,2024-08-29,C0179,P0009,S008,8,"₹4,932.96",15%,39463.68,33544.13,Credit Card,Online,Completed,New
INV100042,2024-03-17,C0141,P0028,S002,5,"₹5,215.53",0%,26077.65,26077.65,Credit Card,Online,Returned,Returning
INV100043,2024-11-14,C0118,P0005,S002,8,"₹9,742.92",15%,77943.36,66251.86,Wallet,Distributor,Completed,Returning
INV100044,2024-03-14,C0075,P0028,S001,10,"₹5,163.31",5%,51633.1,49051.44,Cash,Online,Completed,Returning
INV100045,2024-07-03,C0018,P0033,S009,9,₹741.01,0%,6669.09,6669.09,Cash,Online,Returned,Repeat
INV100046,2024-05-09,C0005,P0023,S002,6,₹84.22,0%,505.32,505.32,Credit Card,Distributor,Completed,New
INV100047,2024-01-23,C0091,P0022,S003,8,₹409.82,20%,3278.56,2622.85,UPI,Online,Completed,Returning
INV100048,2024-08-22,C0010,P0019,S004,1,₹232.99,0%,232.99,232.99,Bank Transfer,Retail Store,Cancelled,Repeat
INV100049,2024-10-05,C0122,P0017,S001,4,"₹13,559.47",5%,54237.88,51525.99,Credit Card,Distributor,Completed,Repeat
INV100050,2024-03-04,C0095,P0028,S007,8,"₹5,248.18",10%,41985.44,37786.9,UPI,Retail Store,Returned,Repeat
INV100051,2024-09-22,C0069,P0006,S007,2,"₹13,784.99",10%,27569.98,24812.98,UPI,Distributor,Completed,Repeat
INV100052,2024-02-22,C0021,P0021,S005,5,₹282.27,10%,1411.35,1270.21,Cash,Online,Returned,Repeat
INV100053,2024-08-16,C0011,P0023,S010,7,₹83.00,5%,581.0,551.95,Credit Card,Online,Returned,Repeat
INV100054,2024-09-19,C0174,P0011,S001,3,"₹7,713.99",15%,23141.97,19670.67,Cash,Online,Completed,New
INV100055,2024-04-30,C0166,P0024,S006,7,₹457.74,15%,3204.18,2723.55,UPI,Distributor,Returned,Repeat
INV100056,2024-07-09,C0114,P0005,S010,3,"₹9,480.82",15%,28442.46,24176.09,Bank Transfer,Distributor,Completed,New
INV100057,2024-02-28,C0007,P0012,S008,9,"₹18,402.74",10%,165624.66,149062.19,Credit Card,Retail Store,Completed,Returning
INV100058,2024-08-16,C0055,P0019,S008,4,₹206.65,0%,826.6,826.6,Credit Card,Retail Store,Completed,Returning
INV100059,2024-08-15,C0023,P0021,S006,2,₹279.58,15%,559.16,475.29,Bank Transfer,Online,Completed,Repeat
INV100060,2024-09-17,C0058,P0008,S004,3,"₹2,661.38",0%,7984.14,7984.14,Credit Card,Retail Store,Cancelled,Returning
INV100061,2024-07-07,C0120,P0009,S010,2,"₹5,193.56",0%,10387.12,10387.12,Cash,Distributor,Returned,Repeat
INV100062,2024-10-21,C0019,P0009,S006,2,"₹5,327.73",10%,10655.46,9589.91,Wallet,Retail Store,Completed,Returning
INV100063,2024-11-23,C0151,P0012,S003,7,"₹18,394.93",15%,128764.51,109449.83,Credit Card,Online,Cancelled,New
INV100064,2024-06-04,C0043,P0011,S006,4,"₹8,037.28",5%,32149.12,30541.66,Wallet,Retail Store,Completed,Repeat
INV100065,2024-04-10,C0163,P0018,S003,5,"₹5,285.42",15%,26427.1,22463.03,Wallet,Distributor,Completed,Returning
INV100066,2024-10-24,C0040,P0011,S010,10,"₹7,911.33",5%,79113.3,75157.63,Wallet,Online,Completed,New
INV100067,2024-01-24,C0165,P0017,S004,10,"₹14,139.27",10%,141392.7,127253.43,Credit Card,Retail Store,Cancelled,Repeat
INV100068,2024-11-24,C0078,P0031,S004,7,₹999.54,5%,6996.78,6646.94,Credit Card,Online,Returned,Repeat
INV100069,2024-09-04,C0119,P0014,S006,10,"₹17,646.85",0%,176468.5,176468.5,Bank Transfer,Distributor,Completed,Repeat
INV100070,2024-03-07,C0095,P0033,S009,2,₹723.06,5%,1446.12,1373.81,Credit Card,Retail Store,Returned,New
INV100071,2024-03-13,C0025,P0004,S005,7,"₹71,752.04",15%,502264.28,426924.64,UPI,Retail Store,Cancelled,Returning
INV100072,2024-06-09,C0049,P0011,S008,9,"₹7,498.79",10%,67489.11,60740.2,Bank Transfer,Retail Store,Completed,New
INV100073,2024-07-20,C0130,P0030,S004,4,"₹1,916.70",15%,7666.8,6516.78,Credit Card,Retail Store,Returned,Returning
INV100074,2024-11-30,C0173,P0031,S005,9,"₹1,062.97",0%,9566.73,9566.73,Cash,Online,Completed,Returning
INV100075,2024-07-06,C0104,P0024,S001,7,₹500.32,0%,3502.24,3502.24,UPI,Retail Store,Cancelled,Repeat
INV100076,2024-02-07,C0099,P0033,S008,9,₹793.49,5%,7141.41,6784.34,Wallet,Distributor,Cancelled,New
INV100077,2024-03-06,C0025,P0026,S006,6,₹344.03,15%,2064.18,1754.55,UPI,Online,Cancelled,Returning
INV100078,2024-07-24,C0129,P0003,S001,1,"₹51,146.11",0%,51146.11,51146.11,Cash,Distributor,Returned,New
INV100079,2024-11-06,C0132,P0009,S006,10,"₹5,067.74",5%,50677.4,48143.53,Wallet,Distributor,Completed,Returning
INV100080,2024-06-21,C0130,P0033,S009,8,₹761.82,20%,6094.56,4875.65,Cash,Online,Completed,Repeat
INV100081,2024-12-10,C0029,P0027,S010,5,"₹2,011.59",20%,10057.95,8046.36,Credit Card,Distributor,Returned,Repeat
INV100082,2024-12-01,C0149,P0015,S001,10,"₹23,161.77",10%,231617.7,208455.93,Wallet,Retail Store,Completed,Returning
INV100083,2024-05-04,C0009,P0008,S004,1,"₹2,467.41",10%,2467.41,2220.67,UPI,Retail Store,Completed,Repeat
INV100084,2024-09-13,C0157,P0031,S001,3,₹959.88,15%,2879.64,2447.69,Bank Transfer,Distributor,Returned,Returning
INV100085,2024-07-11,C0081,P0012,S008,9,"₹17,388.45",5%,156496.05,148671.25,Bank Transfer,Distributor,Returned,New
INV100086,2024-05-06,C0072,P0020,S004,5,₹527.00,5%,2635.0,2503.25,Cash,Retail Store,Returned,Repeat
INV100087,2024-10-13,C0071,P0019,S002,10,₹220.96,20%,2209.6,1767.68,Cash,Retail Store,Completed,Repeat
INV100088,2024-01-22,C0074,P0006,S006,8,"₹13,034.14",20%,104273.12,83418.5,Cash,Online,Completed,Returning
INV100089,2024-05-18,C0144,P0018,S003,2,"₹5,459.89",15%,10919.78,9281.81,UPI,Online,Completed,Returning
INV100090,2024-09-28,C0058,P0015,S001,2,"₹23,786.86",10%,47573.72,42816.35,Cash,Online,Completed,New
INV100091,2024-10-08,C0041,P0027,S008,8,"₹1,807.26",20%,14458.08,11566.46,Bank Transfer,Retail Store,Completed,Returning
INV100092,2024-01-31,C0023,P0015,S009,1,"₹24,129.53",0%,24129.53,24129.53,UPI,Online,Returned,Repeat
INV100093,2024-04-05,C0075,P0003,S001,5,"₹50,269.29",15%,251346.45,213644.48,Bank Transfer,Retail Store,Returned,Returning
INV100094,2024-10-05,C0135,P0032,S003,9,"₹2,509.68",10%,22587.12,20328.41,Credit Card,Retail Store,Completed,Returning
